x_pts,id,ver,type
2.5,4193,,
1.6,4194,,
1.6,4195,,
1.4,4186,2,
1.4,4187,2,
1.4,4177,2,
1.4,4190,2,
1.4,4191,2,
1.35,4185,4,
1.35,4182,4,
1.35,4188,4,
1.35,4189,4,
1.25,3364,2,
1.25,3462,2,
1.25,3483,2,
1.25,3523,2,
1.25,3543,2,
1.25,3563,2,
1.25,3641,2,
1.25,3735,2,
1.25,3775,2,
1.25,3861,2,
1.25,3933,2,
1.25,4003,2,
1.25,4050,2,
1.25,4071,2,
1.25,4133,2,
1.25,4179,2,
1.25,4147,2,
1.2,4162,,legend
1.2,4158,,rr
1.2,4159,,rr
1.2,3524,,rr
1.2,3962,,rr
1.2,3963,,rr
1.2,3964,,rr
1.2,4180,,rr
1.2,4181,,rr
1.2,1879,,raid
1.2,2795,,raid
1.2,3263,,raid
1.2,2908,,coliseum
1.2,3457,,fortnight
1.2,2362,,tm
1.2,3094,,tm
1.2,3273,,tm
1.2,3297,,tm
1.2,3736,,tm
1.2,2936,,other
1.2,3886,,other
1.2,2938,,other
1.2,2940,,other
1.2,2942,,other
1.2,2944,,other
1.2,2946,,other
1.2,2948,,other
1.2,2950,,other
1.2,2952,,other
1.2,3884,,other
