x_pts,id,ver,type
2.5,4162,,
1.6,4158,,
1.6,4159,,
1.4,4150,2,
1.4,4152,2,
1.4,4153,2,
1.4,4154,2,
1.4,4151,2,
1.4,4128,2,
1.4,4146,2,
1.4,4147,2,
1.35,4139,4,
1.35,4140,4,
1.35,4142,4,
1.35,4137,4,
1.35,4155,4,
1.35,4156,4,
1.35,4157,4,
1.35,4163,4,
1.35,4129,4,
1.35,4130,4,
1.25,3364,2,
1.25,3462,2,
1.25,3483,2,
1.25,3523,2,
1.25,3543,2,
1.25,3563,2,
1.25,3641,2,
1.25,3735,2,
1.25,3775,2,
1.25,3861,2,
1.25,3933,2,
1.25,4003,2,
1.25,4050,2,
1.25,4071,2,
1.25,4133,2,
1.25,2583,2,
1.25,2977,2,
1.25,3368,2,
1.25,3443,2,
1.25,3467,2,
1.25,3645,2,
1.25,3663,2,
1.25,3864,2,
1.25,3915,2,
1.25,3936,2,
1.25,4108,2,
1.2,4111,,legend
1.2,4112,,rr
1.2,4113,,rr
1.2,3819,,rr
1.2,3820,,rr
1.2,3821,,rr
1.2,4051,,rr
1.2,4052,,rr
1.2,4134,,rr
1.2,4135,,rr
1.2,865,,raid
1.2,1047,,raid
1.2,1879,,raid
1.2,2781,,raid
1.2,2846,,raid
1.2,2987,,raid
1.2,3078,,raid
1.2,3143,,raid
1.2,3383,,raid
1.2,3399,,raid
1.2,3671,,raid
1.2,1091,,coliseum
1.2,1456,,coliseum
1.2,2290,,coliseum
1.2,2721,,coliseum
1.2,2813,,coliseum
1.2,2845,,coliseum
1.2,2953,,coliseum
1.2,3189,,coliseum
1.2,3361,,coliseum
1.2,3580,,coliseum
1.2,797,,fortnight
1.2,1737,,fortnight
1.2,1810,,fortnight
1.2,2045,,fortnight
1.2,2254,,fortnight
1.2,2520,,fortnight
1.2,2709,,other
1.2,3032,,other
1.2,3713,,other
1.2,2936,,other
1.2,3886,,other
1.2,2938,,other
1.2,2940,,other
1.2,2942,,other
1.2,2944,,other
1.2,2946,,other
1.2,2948,,other
1.2,2950,,other
1.2,2952,,other
1.2,3884,,other
